City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,General Pico,AR,2022-07-23 05:10:01,-35.6566,-63.7568,49.39,69,100,9.1
67,Kachiry,KZ,2022-07-23 05:10:01,53.0675,76.1036,74.08,40,17,11.32
68,Portland,US,2022-07-23 05:08:22,45.5234,-122.6762,68.47,74,0,8.01
69,Seoul,KR,2022-07-23 05:08:33,37.5683,126.9778,85.39,70,100,4.38
70,Mazagao,BR,2022-07-23 05:10:02,-0.115,-51.2894,77.05,87,80,3.11
71,Fort Nelson,CA,2022-07-23 05:05:21,58.8053,-122.7002,59.25,69,20,4.92
72,Alofi,NU,2022-07-23 05:10:03,-19.0595,-169.9187,76.19,77,17,15.77
73,Cam Ranh,VN,2022-07-23 05:10:03,11.9214,109.1591,87.76,62,20,9.22
74,Sao Gabriel Da Cachoeira,BR,2022-07-23 05:10:03,-0.1303,-67.0892,71.8,99,100,2.06
75,Yongchang,CN,2022-07-23 05:10:04,30.0381,119.7317,105.58,39,44,12.93
76,Wajima,JP,2022-07-23 05:07:42,37.4,136.9,76.35,79,32,10.87
77,Hindaun,IN,2022-07-23 05:10:04,26.7167,77.0167,88.03,64,100,8.28
78,Saint-Augustin,CA,2022-07-23 05:05:53,51.226,-58.6502,54.7,97,100,6.71
79,Carnarvon,AU,2022-07-23 05:10:05,-24.8667,113.6333,69.19,51,52,13.22
80,Ust-Kut,RU,2022-07-23 05:10:05,56.7938,105.7672,74.75,60,100,3.53
81,Shihezi,CN,2022-07-23 05:10:05,44.3,86.0333,99.36,11,3,9.06
82,Tuatapere,NZ,2022-07-23 05:10:06,-46.1333,167.6833,44.08,82,37,3.6
83,Steamboat Springs,US,2022-07-23 05:05:50,40.485,-106.8317,76.5,47,0,0.0
84,Portoferraio,IT,2022-07-23 05:10:06,42.8115,10.3146,78.98,72,1,10.0
85,Marzuq,YE,2022-07-23 05:10:06,14.4,46.4667,79.52,55,42,8.88
86,Vitim,RU,2022-07-23 05:10:07,59.4511,112.5578,89.98,39,100,5.1
87,Cherskiy,RU,2022-07-23 05:10:07,68.75,161.3,57.06,43,23,3.91
88,Upernavik,GL,2022-07-23 05:10:07,72.7868,-56.1549,43.05,93,100,9.53
89,Noumea,NC,2022-07-23 05:09:39,-22.2763,166.4572,75.99,99,100,7.7
90,Mexico,PH,2022-07-23 05:10:08,15.0646,120.7198,93.34,53,52,2.28
91,Tuktoyaktuk,CA,2022-07-23 05:10:08,69.4541,-133.0374,47.08,92,96,16.13
92,Galle,LK,2022-07-23 05:10:09,6.0367,80.217,80.92,83,57,15.03
93,Kivertsi,UA,2022-07-23 05:10:09,50.8343,25.4582,70.92,73,67,5.95
94,Cape Town,ZA,2022-07-23 05:10:09,-33.9258,18.4232,54.12,90,48,3.0
95,Torbay,CA,2022-07-23 05:11:10,47.6666,-52.7314,66.97,90,40,12.66
96,Manta,EC,2022-07-23 05:06:45,-0.95,-80.7333,71.38,83,40,6.91
97,Hofn,IS,2022-07-23 05:11:10,64.2539,-15.2082,51.93,86,69,2.39
98,Pevek,RU,2022-07-23 05:11:10,69.7008,170.3133,34.11,92,73,5.66
99,Barrow,US,2022-07-23 05:11:11,71.2906,-156.7887,37.42,93,100,13.8
100,Hohhot,CN,2022-07-23 05:11:11,40.8106,111.6522,83.44,26,3,11.5
101,Avarua,CK,2022-07-23 05:11:11,-21.2078,-159.775,75.25,69,20,9.22
102,Thinadhoo,MV,2022-07-23 05:11:11,0.5333,72.9333,81.77,73,100,7.72
103,Saint George,US,2022-07-23 05:11:12,37.1041,-113.5841,100.26,19,0,3.44
104,Tucuma,BR,2022-07-23 05:11:12,-0.1833,-50.05,75.83,89,100,4.97
105,Meulaboh,ID,2022-07-23 05:11:12,4.1363,96.1285,87.15,64,88,7.43
106,Aksu,CN,2022-07-23 05:11:13,41.1231,80.2644,95.43,13,0,2.19
107,Mar Del Plata,AR,2022-07-23 05:11:13,-38.0023,-57.5575,49.08,85,92,18.99
108,Gimli,CA,2022-07-23 05:11:13,50.6336,-96.9907,63.86,79,69,4.72
109,Le Port,RE,2022-07-23 05:11:14,-20.9373,55.2919,71.62,68,19,5.41
110,Mehamn,NO,2022-07-23 05:11:14,71.0357,27.8492,55.35,71,40,10.36
111,Esperance,AU,2022-07-23 05:11:14,-33.8667,121.9,65.48,53,4,20.76
112,Cairns,AU,2022-07-23 05:11:15,-16.9167,145.7667,85.06,53,10,6.91
113,Chuy,UY,2022-07-23 05:11:15,-33.6971,-53.4616,56.39,98,100,5.32
114,Groa,NO,2022-07-23 05:11:15,62.65,8.7167,57.13,79,70,3.2
115,Bethel,US,2022-07-23 05:11:16,41.3712,-73.414,75.63,91,0,0.0
116,Bengkulu,ID,2022-07-23 05:11:16,-3.8004,102.2655,86.07,63,22,8.01
117,Quthing,LS,2022-07-23 05:11:16,-30.4,27.7003,48.69,54,89,3.85
118,La Romana,DO,2022-07-23 05:11:17,18.4273,-68.9728,77.14,86,81,13.27
119,Yarada,IN,2022-07-23 05:11:17,17.65,83.2667,86.32,74,40,9.22
120,Mitu,CO,2022-07-23 05:11:17,1.1983,-70.1733,70.74,99,100,1.57
121,Araguaina,BR,2022-07-23 05:11:18,-7.1911,-48.2072,70.39,46,9,4.05
122,Katsuura,JP,2022-07-23 05:09:23,35.1333,140.3,82.72,71,0,19.28
123,Adrar,MR,2022-07-23 05:11:18,20.5022,-10.0711,87.85,45,85,2.35
124,Kodiak,US,2022-07-23 05:11:18,57.79,-152.4072,49.84,83,98,5.14
125,Flin Flon,CA,2022-07-23 05:11:19,54.7682,-101.865,50.5,85,96,5.32
126,Airai,TL,2022-07-23 05:11:19,-8.9266,125.4092,71.15,41,12,3.87
127,Butaritari,KI,2022-07-23 05:11:19,3.0707,172.7902,81.72,77,52,10.69
128,Tucurui,BR,2022-07-23 05:07:31,-3.7661,-49.6725,73.54,62,28,1.9
129,Pisco,PE,2022-07-23 05:11:20,-13.7,-76.2167,53.65,87,18,2.3
130,Cidreira,BR,2022-07-23 05:11:20,-30.1811,-50.2056,63.75,97,99,7.47
131,Naze,JP,2022-07-23 05:11:20,28.3667,129.4833,83.07,61,80,2.06
132,Vila Franca Do Campo,PT,2022-07-23 05:11:21,37.7167,-25.4333,70.2,87,98,0.63
133,Geraldton,AU,2022-07-23 05:11:21,-28.7667,114.6,64.81,88,75,11.5
134,Juan Aldama,MX,2022-07-23 05:11:21,24.2908,-103.3944,71.31,39,77,6.44
135,Hay River,CA,2022-07-23 05:11:22,60.8156,-115.7999,57.47,70,31,9.4
136,Samarai,PG,2022-07-23 05:11:22,-10.6167,150.6667,82.36,73,33,8.3
137,Codrington,AU,2022-07-23 05:11:22,-38.2667,141.9667,53.65,93,100,12.93
138,Sibolga,ID,2022-07-23 05:11:23,1.7427,98.7792,88.97,57,63,6.04
139,Baykit,RU,2022-07-23 05:11:23,61.67,96.37,74.48,57,100,8.16
140,Abu Samrah,SY,2022-07-23 05:12:23,35.3029,37.1841,78.91,39,0,8.32
141,Nouadhibou,MR,2022-07-23 05:12:24,20.931,-17.0347,69.46,93,52,3.89
142,Concepcion,CL,2022-07-23 05:12:00,-36.827,-73.0498,51.6,100,100,11.5
143,Kurilsk,RU,2022-07-23 05:12:24,45.2333,147.8833,58.39,95,100,5.19
144,Khatanga,RU,2022-07-23 05:12:24,71.9667,102.5,43.5,86,100,11.65
145,Road Town,VG,2022-07-23 05:12:25,18.4167,-64.6167,80.69,73,0,20.2
146,Arraial Do Cabo,BR,2022-07-23 05:12:25,-22.9661,-42.0278,70.3,91,5,19.55
147,Yerbogachen,RU,2022-07-23 05:12:25,61.2767,108.0108,76.78,43,100,12.62
148,Baruun-Urt,MN,2022-07-23 05:12:26,46.6806,113.2792,77.63,31,26,9.19
149,Mozarlandia,BR,2022-07-23 05:12:26,-14.7447,-50.5706,71.49,36,7,4.76
150,Bumba,CD,2022-07-23 05:12:27,2.1833,22.4667,68.32,95,100,3.78
151,Saint Anthony,US,2022-07-23 05:12:27,45.0205,-93.218,77.83,73,0,3.44
152,Puerto Madryn,AR,2022-07-23 05:12:27,-42.7692,-65.0385,36.01,99,100,17.65
153,Wagrowiec,PL,2022-07-23 05:12:27,52.8084,17.1996,69.82,76,40,1.86
154,Kalofer,BG,2022-07-23 05:12:28,42.6167,24.9833,73.89,83,0,2.37
155,Clyde River,CA,2022-07-23 05:12:28,70.4692,-68.5914,48.45,72,60,2.98
156,Sitka,US,2022-07-23 05:12:29,57.0531,-135.33,55.29,82,100,8.05
157,Castelo Do Piaui,BR,2022-07-23 05:12:29,-5.3222,-41.5525,71.51,57,40,3.96
158,Benemerito De Las Americas,MX,2022-07-23 05:12:29,16.5167,-90.6439,70.27,99,100,2.64
159,Belaya Gora,RU,2022-07-23 05:12:30,68.5333,146.4167,67.78,34,47,15.97
160,Atar,MR,2022-07-23 05:12:30,20.5169,-13.0499,83.79,56,100,8.37
161,Nieves,PH,2022-07-23 05:12:30,15.3274,120.9485,93.97,50,28,1.88
162,Nakamura,JP,2022-07-23 05:12:31,32.9833,132.9333,85.37,58,41,4.16
163,Nikolskoye,RU,2022-07-23 05:12:31,59.7035,30.7861,75.87,61,26,7.81
164,Lorengau,PG,2022-07-23 05:12:31,-2.0226,147.2712,85.53,68,24,9.64
165,Eregli,TR,2022-07-23 05:12:32,37.5133,34.0467,69.89,36,0,3.29
166,Tura,IN,2022-07-23 05:12:32,25.5198,90.2201,83.59,75,100,0.94
167,Mahebourg,MU,2022-07-23 05:12:32,-20.4081,57.7,74.25,72,7,17.13
168,Walvis Bay,NA,2022-07-23 05:12:33,-22.9575,14.5053,55.09,88,2,8.16
169,Manbij,SY,2022-07-23 05:12:33,36.5281,37.9549,83.48,25,0,13.65
170,Loreto,MX,2022-07-23 05:12:33,22.2667,-101.9667,64.09,70,55,15.68
171,Kautokeino,NO,2022-07-23 05:12:33,69.0125,23.0412,52.39,68,65,15.77
172,Hambantota,LK,2022-07-23 05:12:34,6.1241,81.1185,86.27,64,42,22.53
173,Shahr-E Babak,IR,2022-07-23 05:12:34,30.1165,55.1186,86.47,24,2,4.38
174,Shenjiamen,CN,2022-07-23 05:12:35,29.9576,122.298,85.28,75,75,3.51
175,Amapa,BR,2022-07-23 05:12:35,1.0,-52.0,70.11,99,100,1.05
176,Sao Joao Da Barra,BR,2022-07-23 05:10:12,-21.6403,-41.0511,70.66,89,0,12.03
177,Halifax,CA,2022-07-23 05:09:43,44.6453,-63.5724,68.52,93,0,4.54
178,Guanay,BO,2022-07-23 05:12:36,-15.4975,-67.8797,68.05,90,14,2.01
179,Yar-Sale,RU,2022-07-23 05:12:36,66.8333,70.8333,48.83,88,100,12.91
180,Hiroshima,JP,2022-07-23 05:12:36,34.3963,132.4594,83.98,60,52,5.06
181,Berdigestyakh,RU,2022-07-23 05:12:37,62.0989,126.6992,77.63,53,69,2.24
182,Esik,KZ,2022-07-23 05:13:37,43.3552,77.4525,89.02,21,0,8.34
183,Anadyr,RU,2022-07-23 05:13:37,64.75,177.4833,50.5,76,20,4.47
184,Arlit,NE,2022-07-23 05:13:38,18.7369,7.3853,87.96,43,75,6.42
185,Deputatskiy,RU,2022-07-23 05:13:38,69.3,139.9,63.32,44,93,16.2
