City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saldanha,ZA,-33.0117,17.9442,54.88,62,1,18.88,clear sky
80,San Ramon,US,37.7799,-121.978,67.57,84,100,8.05,overcast clouds
81,Hami,CN,42.8,93.45,85.33,27,45,0.92,scattered clouds
82,Maloy,NO,61.9353,5.1136,58.73,72,91,7.25,overcast clouds
83,Vaini,TO,-21.2,-175.2,76.15,86,100,12.88,overcast clouds
84,Codrington,AU,-38.2667,141.9667,46.54,92,96,13.33,overcast clouds
85,Glendive,US,47.1053,-104.7125,73.49,57,0,8.05,clear sky
86,Iqaluit,CA,63.7506,-68.5145,49.69,81,85,4.0,overcast clouds
87,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,62.13,45,2,8.39,clear sky
88,Skibbereen,IE,51.55,-9.2667,66.11,65,76,12.59,broken clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,53.94,86,100,10.0,overcast clouds
90,Quatre Cocos,MU,-20.2078,57.7625,71.1,72,48,17.67,light rain
91,Emerald,AU,-23.5333,148.1667,56.34,83,100,7.65,overcast clouds
92,Novodolinskiy,KZ,49.705,72.7047,64.98,71,95,4.83,overcast clouds
93,Zhizdra,RU,53.746,34.7395,68.47,71,97,5.64,overcast clouds
94,Huilong,CN,31.8111,121.655,83.93,93,0,6.76,clear sky
95,Castro,BR,-24.7911,-50.0119,69.64,34,0,4.27,clear sky
96,Samarai,PG,-10.6167,150.6667,79.29,82,35,12.21,scattered clouds
97,Pervomayskoye,RU,43.919,46.7102,82.9,46,0,12.1,clear sky
98,Leningradskiy,RU,69.3833,178.4167,45.03,71,8,6.46,clear sky
99,Kodiak,US,57.79,-152.4072,56.71,82,100,0.0,overcast clouds
100,Wenling,CN,28.3669,121.36,81.52,85,97,4.68,overcast clouds
101,Ilulissat,GL,69.2167,-51.1,49.14,61,54,3.62,broken clouds
102,Trenggalek,ID,-8.05,111.7167,71.44,91,62,0.22,broken clouds
103,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.43,25,3,4.12,clear sky
104,Pacific Grove,US,36.6177,-121.9166,64.2,92,40,3.44,scattered clouds
105,Roald,NO,62.5833,6.1333,59.92,77,75,6.91,broken clouds
106,Alofi,NU,-19.0595,-169.9187,77.25,80,7,19.57,clear sky
107,Varangaon,IN,21.0167,75.9,81.63,72,99,7.23,overcast clouds
108,Fort Nelson,CA,58.8053,-122.7002,60.39,77,96,3.8,overcast clouds
109,Sambava,MG,-14.2667,50.1667,70.88,86,0,10.67,clear sky
110,Gamba,GA,-2.65,10.0,76.51,74,63,10.25,broken clouds
111,Lompoc,US,34.6391,-120.4579,72.01,86,0,4.61,clear sky
112,Belyy Yar,RU,53.6039,91.3903,67.89,77,0,4.47,clear sky
113,Jalu,LY,29.0331,21.5482,99.54,14,0,14.18,clear sky
114,Provideniya,RU,64.3833,-173.3,46.67,85,8,4.18,clear sky
115,Sinnamary,GF,5.3833,-52.95,82.78,76,22,7.25,few clouds
116,Tocopilla,CL,-22.092,-70.1979,66.31,65,27,10.94,scattered clouds
117,Kapustin Yar,RU,48.5831,45.7372,86.34,37,92,5.61,overcast clouds
118,Victor Harbor,AU,-35.5667,138.6167,48.69,88,1,11.59,clear sky
119,Broome,US,42.2506,-75.833,79.47,60,100,5.99,overcast clouds
120,Gainesville,US,29.6516,-82.3248,91.67,59,0,1.01,clear sky
121,Cutro,IT,39.0353,16.9819,75.65,55,99,6.64,overcast clouds
122,Fukue,JP,32.6881,128.8419,82.78,84,100,30.24,overcast clouds
123,Maragogi,BR,-9.0122,-35.2225,79.92,70,43,11.36,scattered clouds
124,Arraial Do Cabo,BR,-22.9661,-42.0278,69.3,57,1,4.83,clear sky
125,Narsaq,GL,60.9167,-46.05,55.62,69,91,4.81,overcast clouds
126,Talnakh,RU,69.4865,88.3972,48.11,64,10,17.09,clear sky
127,Laguna,US,38.421,-121.4238,78.94,74,0,8.05,clear sky
128,Turayf,SA,31.6725,38.6637,99.63,12,2,11.03,clear sky
129,Kodinsk,RU,58.6881,99.1844,61.2,92,3,1.19,clear sky
130,Kalat,PK,29.0225,66.5916,75.79,48,86,7.52,overcast clouds
131,Carnarvon,AU,-24.8667,113.6333,69.49,49,100,7.49,light rain
132,Asfi,MA,32.2994,-9.2372,83.01,61,8,21.59,clear sky
133,Sitka,US,57.0531,-135.33,58.89,88,100,6.91,mist
134,Chake Chake,TZ,-5.2459,39.7666,74.16,79,0,10.0,clear sky
135,El Porvenir,HN,13.7617,-87.3458,79.93,49,99,4.65,overcast clouds
136,Pisco,PE,-13.7,-76.2167,61.02,82,100,5.75,mist
137,Saint-Georges,GD,12.0564,-61.7485,80.85,86,99,18.14,overcast clouds
138,Kaduy,RU,59.2,37.15,64.44,59,78,4.56,broken clouds
139,Minab,IR,27.1467,57.0801,91.15,63,90,4.9,overcast clouds
140,Porto Walter,BR,-8.2686,-72.7439,91.89,43,31,2.89,scattered clouds
141,Megion,RU,61.0296,76.1136,59.02,57,100,12.82,overcast clouds
142,Te Anau,NZ,-45.4167,167.7167,31.01,92,49,0.65,scattered clouds
143,Olinda,BR,-8.0089,-34.8553,82.13,74,75,12.66,broken clouds
144,Deputatskiy,RU,69.3,139.9,58.28,91,100,1.97,light rain
145,Gejiu,CN,23.306,103.1635,58.3,91,100,0.22,overcast clouds
146,Manokwari,ID,-0.8667,134.0833,78.71,66,100,3.36,overcast clouds
147,Hasaki,JP,35.7333,140.8333,82.8,84,86,7.94,overcast clouds
148,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,27,12.5,scattered clouds
149,Samana,DO,19.2056,-69.3369,89.82,70,20,13.8,few clouds
